codigo_mun,mun,censo,part,partido,votos_partido,votos_pc
04001,Abla,1007,65.34,AA,12,1.84
04001,Abla,1007,65.34,Cs,17,2.6
04001,Abla,1007,65.34,xA,36,5.51
04001,Abla,1007,65.34,PP,254,38.9
04001,Abla,1007,65.34,PSOE,219,33.54
04001,Abla,1007,65.34,VOX,104,15.93
04001,Abla,1007,65.34,Otros,8,1.22
04002,Abrucena,1004,65.54,AA,6,0.92
04002,Abrucena,1004,65.54,Cs,22,3.36
04002,Abrucena,1004,65.54,xA,24,3.67
04002,Abrucena,1004,65.54,PP,244,37.31
04002,Abrucena,1004,65.54,PSOE,239,36.54
04002,Abrucena,1004,65.54,VOX,102,15.6
04002,Abrucena,1004,65.54,Otros,13,1.98
04003,Adra,17625,53.69,AA,113,1.2
04003,Adra,17625,53.69,Cs,160,1.7
04003,Adra,17625,53.69,xA,305,3.25
04003,Adra,17625,53.69,PP,4551,48.43
04003,Adra,17625,53.69,PSOE,1821,19.38
04003,Adra,17625,53.69,VOX,2271,24.16
04003,Adra,17625,53.69,Otros,103,1.1
04004,Albanchez,400,67.75,AA,3,1.11
04004,Albanchez,400,67.75,Cs,12,4.44
04004,Albanchez,400,67.75,xA,8,2.96
04004,Albanchez,400,67.75,PP,115,42.59
04004,Albanchez,400,67.75,PSOE,73,27.04
04004,Albanchez,400,67.75,VOX,56,20.74
04004,Albanchez,400,67.75,Otros,3,1.11
04005,Alboloduy,512,71.29,AA,0,0
04005,Alboloduy,512,71.29,Cs,4,1.1
04005,Alboloduy,512,71.29,xA,8,2.2
04005,Alboloduy,512,71.29,PP,201,55.22
04005,Alboloduy,512,71.29,PSOE,99,27.2
04005,Alboloduy,512,71.29,VOX,44,12.09
04005,Alboloduy,512,71.29,Otros,4,1.09
04006,Albox,7237,51.97,AA,52,1.4
04006,Albox,7237,51.97,Cs,85,2.28
04006,Albox,7237,51.97,xA,133,3.57
04006,Albox,7237,51.97,PP,2105,56.48
04006,Albox,7237,51.97,PSOE,751,20.15
04006,Albox,7237,51.97,VOX,525,14.09
04006,Albox,7237,51.97,Otros,48,1.29
04007,Alcolea,713,56.94,AA,2,0.5
04007,Alcolea,713,56.94,Cs,7,1.73
04007,Alcolea,713,56.94,xA,32,7.92
04007,Alcolea,713,56.94,PP,144,35.64
04007,Alcolea,713,56.94,PSOE,111,27.48
04007,Alcolea,713,56.94,VOX,101,25
04007,Alcolea,713,56.94,Otros,7,1.74
04008,Alcóntar,466,72.96,AA,5,1.49
04008,Alcóntar,466,72.96,Cs,7,2.08
04008,Alcóntar,466,72.96,xA,5,1.49
04008,Alcóntar,466,72.96,PP,209,62.2
04008,Alcóntar,466,72.96,PSOE,68,20.24
04008,Alcóntar,466,72.96,VOX,37,11.01
04008,Alcóntar,466,72.96,Otros,1,0.3
04009,Alcudia de Monteagud,122,74.59,AA,3,3.33
04009,Alcudia de Monteagud,122,74.59,Cs,0,0
04009,Alcudia de Monteagud,122,74.59,xA,4,4.44
04009,Alcudia de Monteagud,122,74.59,PP,49,54.44
04009,Alcudia de Monteagud,122,74.59,PSOE,16,17.78
04009,Alcudia de Monteagud,122,74.59,VOX,17,18.89
04009,Alcudia de Monteagud,122,74.59,Otros,0,0
04010,Alhabia,574,64.46,AA,7,1.9
04010,Alhabia,574,64.46,Cs,6,1.63
04010,Alhabia,574,64.46,xA,8,2.17
04010,Alhabia,574,64.46,PP,141,38.32
04010,Alhabia,574,64.46,PSOE,164,44.57
04010,Alhabia,574,64.46,VOX,28,7.61
04010,Alhabia,574,64.46,Otros,7,1.9
04011,Alhama de Almería,2772,62.63,AA,25,1.46
04011,Alhama de Almería,2772,62.63,Cs,42,2.46
04011,Alhama de Almería,2772,62.63,xA,107,6.27
04011,Alhama de Almería,2772,62.63,PP,630,36.91
04011,Alhama de Almería,2772,62.63,PSOE,613,35.91
04011,Alhama de Almería,2772,62.63,VOX,254,14.88
04011,Alhama de Almería,2772,62.63,Otros,25,1.48
04012,Alicún,190,75.26,AA,0,0
04012,Alicún,190,75.26,Cs,4,2.82
04012,Alicún,190,75.26,xA,2,1.41
04012,Alicún,190,75.26,PP,64,45.07
04012,Alicún,190,75.26,PSOE,54,38.03
04012,Alicún,190,75.26,VOX,12,8.45
04012,Alicún,190,75.26,Otros,4,2.8099999999999996
04013,Almería,144283,55.09,AA,1884,2.43
04013,Almería,144283,55.09,Cs,2453,3.17
04013,Almería,144283,55.09,xA,5108,6.6
04013,Almería,144283,55.09,PP,34624,44.72
04013,Almería,144283,55.09,PSOE,16768,21.66
04013,Almería,144283,55.09,VOX,14527,18.76
04013,Almería,144283,55.09,Otros,1377,1.77
04014,Almócita,176,71.59,AA,1,0.81
04014,Almócita,176,71.59,Cs,0,0
04014,Almócita,176,71.59,xA,11,8.94
04014,Almócita,176,71.59,PP,31,25.2
04014,Almócita,176,71.59,PSOE,65,52.85
04014,Almócita,176,71.59,VOX,11,8.94
04014,Almócita,176,71.59,Otros,3,2.43
04015,Alsodux,115,70.43,AA,0,0
04015,Alsodux,115,70.43,Cs,0,0
04015,Alsodux,115,70.43,xA,6,7.41
04015,Alsodux,115,70.43,PP,20,24.69
04015,Alsodux,115,70.43,PSOE,41,50.62
04015,Alsodux,115,70.43,VOX,8,9.88
04015,Alsodux,115,70.43,Otros,4,4.94
04016,Antas,2192,61.82,AA,24,1.78
04016,Antas,2192,61.82,Cs,79,5.86
04016,Antas,2192,61.82,xA,49,3.64
04016,Antas,2192,61.82,PP,581,43.13
04016,Antas,2192,61.82,PSOE,292,21.68
04016,Antas,2192,61.82,VOX,292,21.68
04016,Antas,2192,61.82,Otros,19,1.41
04017,Arboleas,1265,57.55,AA,1,0.14
04017,Arboleas,1265,57.55,Cs,19,2.66
04017,Arboleas,1265,57.55,xA,22,3.09
04017,Arboleas,1265,57.55,PP,344,48.25
04017,Arboleas,1265,57.55,PSOE,178,24.96
04017,Arboleas,1265,57.55,VOX,139,19.5
04017,Arboleas,1265,57.55,Otros,2,0.28
04018,Armuña de Almanzora,260,72.31,AA,5,2.69
04018,Armuña de Almanzora,260,72.31,Cs,2,1.08
04018,Armuña de Almanzora,260,72.31,xA,6,3.23
04018,Armuña de Almanzora,260,72.31,PP,72,38.71
04018,Armuña de Almanzora,260,72.31,PSOE,80,43.01
04018,Armuña de Almanzora,260,72.31,VOX,21,11.29
04018,Armuña de Almanzora,260,72.31,Otros,0,0
04019,Bacares,228,74.56,AA,2,1.18
04019,Bacares,228,74.56,Cs,2,1.18
04019,Bacares,228,74.56,xA,3,1.78
04019,Bacares,228,74.56,PP,53,31.36
04019,Bacares,228,74.56,PSOE,97,57.4
04019,Bacares,228,74.56,VOX,11,6.51
04019,Bacares,228,74.56,Otros,1,0.59
04020,Bayárcal,258,62.02,AA,0,0
04020,Bayárcal,258,62.02,Cs,1,0.63
04020,Bayárcal,258,62.02,xA,0,0
04020,Bayárcal,258,62.02,PP,101,63.92
04020,Bayárcal,258,62.02,PSOE,32,20.25
04020,Bayárcal,258,62.02,VOX,23,14.56
04020,Bayárcal,258,62.02,Otros,1,0.63
04021,Bayarque,185,68.11,AA,1,0.79
04021,Bayarque,185,68.11,Cs,4,3.17
04021,Bayarque,185,68.11,xA,5,3.97
04021,Bayarque,185,68.11,PP,68,53.97
04021,Bayarque,185,68.11,PSOE,37,29.37
04021,Bayarque,185,68.11,VOX,9,7.14
04021,Bayarque,185,68.11,Otros,2,1.58
04022,Bédar,377,55.97,AA,8,3.81
04022,Bédar,377,55.97,Cs,5,2.38
04022,Bédar,377,55.97,xA,12,5.71
04022,Bédar,377,55.97,PP,67,31.9
04022,Bédar,377,55.97,PSOE,67,31.9
04022,Bédar,377,55.97,VOX,45,21.43
04022,Bédar,377,55.97,Otros,2,0.96
04023,Beires,140,60.71,AA,0,0
04023,Beires,140,60.71,Cs,0,0
04023,Beires,140,60.71,xA,2,2.38
04023,Beires,140,60.71,PP,50,59.52
04023,Beires,140,60.71,PSOE,21,25
04023,Beires,140,60.71,VOX,8,9.52
04023,Beires,140,60.71,Otros,2,2.38
04024,Benahadux,3332,59.69,AA,15,0.77
04024,Benahadux,3332,59.69,Cs,39,1.99
04024,Benahadux,3332,59.69,xA,116,5.92
04024,Benahadux,3332,59.69,PP,778,39.69
04024,Benahadux,3332,59.69,PSOE,447,22.81
04024,Benahadux,3332,59.69,VOX,512,26.12
04024,Benahadux,3332,59.69,Otros,33,1.6700000000000002
04026,Benitagla,50,82,AA,0,0
04026,Benitagla,50,82,Cs,5,12.5
04026,Benitagla,50,82,xA,1,2.5
04026,Benitagla,50,82,PP,20,50
04026,Benitagla,50,82,PSOE,6,15
04026,Benitagla,50,82,VOX,8,20
04026,Benitagla,50,82,Otros,0,0
04027,Benizalón,209,52.63,AA,2,1.82
04027,Benizalón,209,52.63,Cs,5,4.55
04027,Benizalón,209,52.63,xA,3,2.73
04027,Benizalón,209,52.63,PP,51,46.36
04027,Benizalón,209,52.63,PSOE,22,20
04027,Benizalón,209,52.63,VOX,23,20.91
04027,Benizalón,209,52.63,Otros,4,3.64
04028,Bentarique,208,81.73,AA,2,1.23
04028,Bentarique,208,81.73,Cs,1,0.62
04028,Bentarique,208,81.73,xA,8,4.94
04028,Bentarique,208,81.73,PP,49,30.25
04028,Bentarique,208,81.73,PSOE,89,54.94
04028,Bentarique,208,81.73,VOX,10,6.17
04028,Bentarique,208,81.73,Otros,1,0.62
04029,Berja,8829,53.44,AA,46,0.98
04029,Berja,8829,53.44,Cs,53,1.13
04029,Berja,8829,53.44,xA,173,3.7
04029,Berja,8829,53.44,PP,2135,45.68
04029,Berja,8829,53.44,PSOE,1236,26.44
04029,Berja,8829,53.44,VOX,947,20.26
04029,Berja,8829,53.44,Otros,47,1.01
04030,Canjáyar,1023,55.43,AA,7,1.26
04030,Canjáyar,1023,55.43,Cs,9,1.62
04030,Canjáyar,1023,55.43,xA,13,2.34
04030,Canjáyar,1023,55.43,PP,246,44.24
04030,Canjáyar,1023,55.43,PSOE,195,35.07
04030,Canjáyar,1023,55.43,VOX,74,13.31
04030,Canjáyar,1023,55.43,Otros,10,1.8
04031,Cantoria,2199,68.08,AA,11,0.74
04031,Cantoria,2199,68.08,Cs,23,1.54
04031,Cantoria,2199,68.08,xA,45,3.02
04031,Cantoria,2199,68.08,PP,532,35.66
04031,Cantoria,2199,68.08,PSOE,698,46.78
04031,Cantoria,2199,68.08,VOX,158,10.59
04031,Cantoria,2199,68.08,Otros,18,1.21
04032,Carboneras,5835,53.18,AA,33,1.07
04032,Carboneras,5835,53.18,Cs,95,3.09
04032,Carboneras,5835,53.18,xA,151,4.91
04032,Carboneras,5835,53.18,PP,1300,42.25
04032,Carboneras,5835,53.18,PSOE,862,28.01
04032,Carboneras,5835,53.18,VOX,586,19.04
04032,Carboneras,5835,53.18,Otros,30,0.97
04033,Castro de Filabres,116,60.34,AA,2,2.86
04033,Castro de Filabres,116,60.34,Cs,1,1.43
04033,Castro de Filabres,116,60.34,xA,2,2.86
04033,Castro de Filabres,116,60.34,PP,20,28.57
04033,Castro de Filabres,116,60.34,PSOE,37,52.86
04033,Castro de Filabres,116,60.34,VOX,8,11.43
04033,Castro de Filabres,116,60.34,Otros,0,0
04034,Cóbdar,149,61.74,AA,1,1.09
04034,Cóbdar,149,61.74,Cs,3,3.26
04034,Cóbdar,149,61.74,xA,4,4.35
04034,Cóbdar,149,61.74,PP,58,63.04
04034,Cóbdar,149,61.74,PSOE,15,16.3
04034,Cóbdar,149,61.74,VOX,8,8.7
04034,Cóbdar,149,61.74,Otros,0,0
04035,Cuevas del Almanzora,8575,59.5,AA,56,1.1
04035,Cuevas del Almanzora,8575,59.5,Cs,59,1.16
04035,Cuevas del Almanzora,8575,59.5,xA,166,3.27
04035,Cuevas del Almanzora,8575,59.5,PP,2212,43.54
04035,Cuevas del Almanzora,8575,59.5,PSOE,1607,31.63
04035,Cuevas del Almanzora,8575,59.5,VOX,910,17.91
04035,Cuevas del Almanzora,8575,59.5,Otros,30,0.6
04036,Chercos,250,68,AA,2,1.2
04036,Chercos,250,68,Cs,2,1.2
04036,Chercos,250,68,xA,5,3.01
04036,Chercos,250,68,PP,84,50.6
04036,Chercos,250,68,PSOE,49,29.52
04036,Chercos,250,68,VOX,21,12.65
04036,Chercos,250,68,Otros,2,1.2
04037,Chirivel,1206,64.01,AA,15,1.97
04037,Chirivel,1206,64.01,Cs,29,3.82
04037,Chirivel,1206,64.01,xA,36,4.74
04037,Chirivel,1206,64.01,PP,315,41.45
04037,Chirivel,1206,64.01,PSOE,247,32.5
04037,Chirivel,1206,64.01,VOX,103,13.55
