codigo_mun,censo,part,validos,partido,votos_partido,votos_partido_pc
05001,173,62.43,106,Otros,1,0.94
05001,173,62.43,106,Cs,2,1.89
05001,173,62.43,106,PSOE,23,21.7
05001,173,62.43,106,UP,1,0.94
05001,173,62.43,106,PP,41,38.68
05001,173,62.43,106,VOX,23,21.7
05001,173,62.43,106,XAV,13,12.26
05002,2137,51.85,1089,Otros,18,1.65
05002,2137,51.85,1089,Cs,14,1.29
05002,2137,51.85,1089,PSOE,361,33.15
05002,2137,51.85,1089,UP,103,9.46
05002,2137,51.85,1089,PP,333,30.58
05002,2137,51.85,1089,VOX,178,16.35
05002,2137,51.85,1089,XAV,72,6.61
05005,163,74.23,121,Otros,3,2.49
05005,163,74.23,121,Cs,0,0
05005,163,74.23,121,PSOE,19,15.7
05005,163,74.23,121,UP,1,0.83
05005,163,74.23,121,PP,46,38.02
05005,163,74.23,121,VOX,29,23.97
05005,163,74.23,121,XAV,23,19.01
05007,101,62.38,63,Otros,0,0
05007,101,62.38,63,Cs,0,0
05007,101,62.38,63,PSOE,10,15.87
05007,101,62.38,63,UP,0,0
05007,101,62.38,63,PP,39,61.9
05007,101,62.38,63,VOX,10,15.87
05007,101,62.38,63,XAV,2,3.17
05008,190,66.32,123,Otros,2,1.62
05008,190,66.32,123,Cs,3,2.44
05008,190,66.32,123,PSOE,32,26.02
05008,190,66.32,123,UP,4,3.25
05008,190,66.32,123,PP,55,44.72
05008,190,66.32,123,VOX,19,15.45
05008,190,66.32,123,XAV,7,5.69
05010,135,70.37,94,Otros,0,0
05010,135,70.37,94,Cs,1,1.06
05010,135,70.37,94,PSOE,18,19.15
05010,135,70.37,94,UP,1,1.06
05010,135,70.37,94,PP,38,40.43
05010,135,70.37,94,VOX,23,24.47
05010,135,70.37,94,XAV,12,12.77
05012,117,81.2,95,Otros,1,1.05
05012,117,81.2,95,Cs,3,3.16
05012,117,81.2,95,PSOE,20,21.05
05012,117,81.2,95,UP,0,0
05012,117,81.2,95,PP,31,32.63
05012,117,81.2,95,VOX,20,21.05
05012,117,81.2,95,XAV,20,21.05
05013,829,70.81,579,Otros,2,0.35
05013,829,70.81,579,Cs,4,0.69
05013,829,70.81,579,PSOE,249,43.01
05013,829,70.81,579,UP,44,7.6
05013,829,70.81,579,PP,202,34.89
05013,829,70.81,579,VOX,41,7.08
05013,829,70.81,579,XAV,35,6.04
05014,5358,57.33,3030,Otros,36,1.1800000000000002
05014,5358,57.33,3030,Cs,73,2.41
05014,5358,57.33,3030,PSOE,1018,33.6
05014,5358,57.33,3030,UP,219,7.23
05014,5358,57.33,3030,PP,1130,37.29
05014,5358,57.33,3030,VOX,408,13.47
05014,5358,57.33,3030,XAV,120,3.96
05015,70,61.43,43,Otros,0,0
05015,70,61.43,43,Cs,0,0
05015,70,61.43,43,PSOE,13,30.23
05015,70,61.43,43,UP,3,6.98
05015,70,61.43,43,PP,12,27.91
05015,70,61.43,43,VOX,13,30.23
05015,70,61.43,43,XAV,1,2.33
05016,6356,63.97,3997,Otros,35,0.88
05016,6356,63.97,3997,Cs,101,2.53
05016,6356,63.97,3997,PSOE,942,23.57
05016,6356,63.97,3997,UP,107,2.68
05016,6356,63.97,3997,PP,1603,40.11
05016,6356,63.97,3997,VOX,884,22.12
05016,6356,63.97,3997,XAV,285,7.13
05017,80,78.75,63,Otros,0,0
05017,80,78.75,63,Cs,0,0
05017,80,78.75,63,PSOE,11,17.46
05017,80,78.75,63,UP,4,6.35
05017,80,78.75,63,PP,32,50.79
05017,80,78.75,63,VOX,7,11.11
05017,80,78.75,63,XAV,9,14.29
05018,27,70.37,19,Otros,0,0
05018,27,70.37,19,Cs,0,0
05018,27,70.37,19,PSOE,9,47.37
05018,27,70.37,19,UP,1,5.26
05018,27,70.37,19,PP,6,31.58
05018,27,70.37,19,VOX,1,5.26
05018,27,70.37,19,XAV,0,0
05019,44773,65.22,28961,Otros,245,0.85
05019,44773,65.22,28961,Cs,755,2.61
05019,44773,65.22,28961,PSOE,6193,21.38
05019,44773,65.22,28961,UP,993,3.43
05019,44773,65.22,28961,PP,7115,24.57
05019,44773,65.22,28961,VOX,4954,17.11
