date,ano,mes,distrito,tipo_salida,salidas
2022-12-01,2022,12,CENTRO,fuegos,26
2022-12-01,2022,12,CENTRO,danos_en_construccion,40
2022-12-01,2022,12,CENTRO,salvamentos_y_rescates,56
2022-12-01,2022,12,CENTRO,danos_por_agua,41
2022-12-01,2022,12,CENTRO,incidentes_diversos,70
2022-12-01,2022,12,CENTRO,salidas_sin_intervencion,84
2022-12-01,2022,12,CENTRO,servicios_varios,14
2022-12-01,2022,12,CENTRO,total,331
2022-12-01,2022,12,ARGANZUELA,fuegos,6
2022-12-01,2022,12,ARGANZUELA,danos_en_construccion,11
2022-12-01,2022,12,ARGANZUELA,salvamentos_y_rescates,12
2022-12-01,2022,12,ARGANZUELA,danos_por_agua,10
2022-12-01,2022,12,ARGANZUELA,incidentes_diversos,6
2022-12-01,2022,12,ARGANZUELA,salidas_sin_intervencion,34
2022-12-01,2022,12,ARGANZUELA,servicios_varios,2
2022-12-01,2022,12,ARGANZUELA,total,81
2022-12-01,2022,12,RETIRO,fuegos,4
2022-12-01,2022,12,RETIRO,danos_en_construccion,9
2022-12-01,2022,12,RETIRO,salvamentos_y_rescates,15
2022-12-01,2022,12,RETIRO,danos_por_agua,12
2022-12-01,2022,12,RETIRO,incidentes_diversos,10
2022-12-01,2022,12,RETIRO,salidas_sin_intervencion,16
2022-12-01,2022,12,RETIRO,servicios_varios,2
2022-12-01,2022,12,RETIRO,total,68
2022-12-01,2022,12,SALAMANCA,fuegos,7
2022-12-01,2022,12,SALAMANCA,danos_en_construccion,15
2022-12-01,2022,12,SALAMANCA,salvamentos_y_rescates,31
2022-12-01,2022,12,SALAMANCA,danos_por_agua,13
2022-12-01,2022,12,SALAMANCA,incidentes_diversos,23
2022-12-01,2022,12,SALAMANCA,salidas_sin_intervencion,29
2022-12-01,2022,12,SALAMANCA,servicios_varios,8
2022-12-01,2022,12,SALAMANCA,total,126
2022-12-01,2022,12,CHAMARTIN,fuegos,13
2022-12-01,2022,12,CHAMARTIN,danos_en_construccion,7
2022-12-01,2022,12,CHAMARTIN,salvamentos_y_rescates,21
2022-12-01,2022,12,CHAMARTIN,danos_por_agua,20
2022-12-01,2022,12,CHAMARTIN,incidentes_diversos,21
2022-12-01,2022,12,CHAMARTIN,salidas_sin_intervencion,21
2022-12-01,2022,12,CHAMARTIN,servicios_varios,3
2022-12-01,2022,12,CHAMARTIN,total,106
2022-12-01,2022,12,TETUAN,fuegos,12
2022-12-01,2022,12,TETUAN,danos_en_construccion,16
2022-12-01,2022,12,TETUAN,salvamentos_y_rescates,22
2022-12-01,2022,12,TETUAN,danos_por_agua,24
2022-12-01,2022,12,TETUAN,incidentes_diversos,18
2022-12-01,2022,12,TETUAN,salidas_sin_intervencion,32
2022-12-01,2022,12,TETUAN,servicios_varios,7
2022-12-01,2022,12,TETUAN,total,131
2022-12-01,2022,12,CHAMBERI,fuegos,13
2022-12-01,2022,12,CHAMBERI,danos_en_construccion,11
2022-12-01,2022,12,CHAMBERI,salvamentos_y_rescates,23
2022-12-01,2022,12,CHAMBERI,danos_por_agua,7
2022-12-01,2022,12,CHAMBERI,incidentes_diversos,11
2022-12-01,2022,12,CHAMBERI,salidas_sin_intervencion,24
2022-12-01,2022,12,CHAMBERI,servicios_varios,4
2022-12-01,2022,12,CHAMBERI,total,93
2022-12-01,2022,12,FUENCARRAL,fuegos,22
2022-12-01,2022,12,FUENCARRAL,danos_en_construccion,3
2022-12-01,2022,12,FUENCARRAL,salvamentos_y_rescates,27
2022-12-01,2022,12,FUENCARRAL,danos_por_agua,12
