date,tipo_salida,salidas
2022-01-01,danos_en_construccion,36
2022-01-01,danos_por_agua,70
2022-01-01,fuegos,158
2022-01-01,incidentes_diversos,83
2022-01-01,salidas_sin_intervencion,141
2022-01-01,salvamentos_y_rescates,227
2022-01-01,servicios_varios,22
2022-03-01,danos_en_construccion,116
2022-03-01,danos_por_agua,148
2022-03-01,fuegos,303
2022-03-01,incidentes_diversos,215
2022-03-01,salidas_sin_intervencion,346
2022-03-01,salvamentos_y_rescates,506
2022-03-01,servicios_varios,70
2022-04-01,danos_en_construccion,152
2022-04-01,danos_por_agua,167
2022-04-01,fuegos,284
2022-04-01,incidentes_diversos,326
2022-04-01,salidas_sin_intervencion,350
2022-04-01,salvamentos_y_rescates,500
2022-04-01,servicios_varios,81
2022-05-01,danos_en_construccion,144
2022-05-01,danos_por_agua,171
2022-05-01,fuegos,488
2022-05-01,incidentes_diversos,369
2022-05-01,salidas_sin_intervencion,438
2022-05-01,salvamentos_y_rescates,590
2022-05-01,servicios_varios,119
2022-06-01,danos_en_construccion,149
2022-06-01,danos_por_agua,170
2022-06-01,fuegos,684
2022-06-01,incidentes_diversos,434
2022-06-01,salidas_sin_intervencion,575
2022-06-01,salvamentos_y_rescates,587
2022-06-01,servicios_varios,132
2022-07-01,danos_en_construccion,132
2022-07-01,danos_por_agua,222
2022-07-01,fuegos,596
2022-07-01,incidentes_diversos,616
2022-07-01,salidas_sin_intervencion,617
2022-07-01,salvamentos_y_rescates,620
2022-07-01,servicios_varios,89
2022-08-01,danos_en_construccion,105
2022-08-01,danos_por_agua,234
2022-08-01,fuegos,440
2022-08-01,incidentes_diversos,541
2022-08-01,salidas_sin_intervencion,430
2022-08-01,salvamentos_y_rescates,616
2022-08-01,servicios_varios,49
2022-09-01,danos_en_construccion,140
2022-09-01,danos_por_agua,175
2022-09-01,fuegos,392
2022-09-01,incidentes_diversos,591
2022-09-01,salidas_sin_intervencion,488
2022-09-01,salvamentos_y_rescates,491
2022-09-01,servicios_varios,97
2022-10-01,danos_en_construccion,163
2022-10-01,danos_por_agua,121
2022-10-01,fuegos,352
2022-10-01,incidentes_diversos,586
2022-10-01,salidas_sin_intervencion,471
2022-10-01,salvamentos_y_rescates,480
2022-10-01,servicios_varios,168
2022-11-01,danos_en_construccion,138
2022-11-01,danos_por_agua,173
2022-11-01,fuegos,245
2022-11-01,incidentes_diversos,413
2022-11-01,salidas_sin_intervencion,517
2022-11-01,salvamentos_y_rescates,432
2022-11-01,servicios_varios,182
2022-12-01,danos_en_construccion,196
2022-12-01,danos_por_agua,277
2022-12-01,fuegos,262
2022-12-01,incidentes_diversos,385
2022-12-01,salidas_sin_intervencion,576
2022-12-01,salvamentos_y_rescates,473
2022-12-01,servicios_varios,148
