codigo_mun,mun,prov,ccaa
01051,Agurain/Salvatierra,Araba/Álava,País Vasco
01001,Alegría-Dulantzi,Araba/Álava,País Vasco
01002,Amurrio,Araba/Álava,País Vasco
01049,Añana,Araba/Álava,País Vasco
01003,Aramaio,Araba/Álava,País Vasco
01006,Armiñón,Araba/Álava,País Vasco
01037,Arraia-Maeztu,Araba/Álava,País Vasco
01008,Arratzua-Ubarrundia,Araba/Álava,País Vasco
01004,Artziniega,Araba/Álava,País Vasco
01009,Asparrena,Araba/Álava,País Vasco
01010,Ayala/Aiara,Araba/Álava,País Vasco
01011,Baños de Ebro/Mañueta,Araba/Álava,País Vasco
01013,Barrundia,Araba/Álava,País Vasco
01014,Berantevilla,Araba/Álava,País Vasco
01016,Bernedo,Araba/Álava,País Vasco
01017,Campezo/Kanpezu,Araba/Álava,País Vasco
01021,Elburgo/Burgelu,Araba/Álava,País Vasco
01022,Elciego,Araba/Álava,País Vasco
01023,Elvillar/Bilar,Araba/Álava,País Vasco
01047,Erriberabeitia,Araba/Álava,País Vasco
01046,Erriberagoitia/Ribera Alta,Araba/Álava,País Vasco
01056,Harana/Valle de Arana,Araba/Álava,País Vasco
01901,Iruña Oka/Iruña de Oca,Araba/Álava,País Vasco
01027,Iruraiz-Gauna,Araba/Álava,País Vasco
01019,Kripan,Araba/Álava,País Vasco
01020,Kuartango,Araba/Álava,País Vasco
01028,Labastida/Bastida,Araba/Álava,País Vasco
01030,Lagrán,Araba/Álava,País Vasco
01031,Laguardia,Araba/Álava,País Vasco
01032,Lanciego/Lantziego,Araba/Álava,País Vasco
01902,Lantarón,Araba/Álava,País Vasco
01033,Lapuebla de Labarca,Araba/Álava,País Vasco
01036,Laudio/Llodio,Araba/Álava,País Vasco
01058,Legutio,Araba/Álava,País Vasco
01034,Leza,Araba/Álava,País Vasco
01039,Moreda de Álava/Moreda Araba,Araba/Álava,País Vasco
01041,Navaridas,Araba/Álava,País Vasco
01042,Okondo,Araba/Álava,País Vasco
01043,Oyón-Oion,Araba/Álava,País Vasco
01044,Peñacerrada-Urizaharra,Araba/Álava,País Vasco
01052,Samaniego,Araba/Álava,País Vasco
01053,San Millán/Donemiliaga,Araba/Álava,País Vasco
01054,Urkabustaiz,Araba/Álava,País Vasco
01055,Valdegovía/Gaubea,Araba/Álava,País Vasco
01057,Villabuena de Álava/Eskuernaga,Araba/Álava,País Vasco
01059,Vitoria-Gasteiz,Araba/Álava,País Vasco
01060,Yécora/Iekora,Araba/Álava,País Vasco
01061,Zalduondo,Araba/Álava,País Vasco
01062,Zambrana,Araba/Álava,País Vasco
01018,Zigoitia,Araba/Álava,País Vasco
01063,Zuia,Araba/Álava,País Vasco
02001,Abengibre,Albacete,Castilla - La Mancha
